,X1,X2,X3,X4,X5,X6
21,Friday 31 May 2019,XAU/GBP,1033.07284,XAU GBP rate for Friday 31 May 2019,NA,NA
22,Thursday 30 May 2019,XAU/GBP,1021.61699,XAU GBP rate for Thursday 30 May 2019,NA,NA
23,Wednesday 29 May 2019,XAU/GBP,1013.6003,XAU GBP rate for Wednesday 29 May 2019,NA,NA
24,Tuesday 28 May 2019,XAU/GBP,1010.77983,XAU GBP rate for Tuesday 28 May 2019,NA,NA
25,Monday 27 May 2019,XAU/GBP,1013.49902,XAU GBP rate for Monday 27 May 2019,NA,NA
26,Sunday 26 May 2019,XAU/GBP,1009.69321,XAU GBP rate for Sunday 26 May 2019,NA,NA
27,Saturday 25 May 2019,XAU/GBP,1010.74474,XAU GBP rate for Saturday 25 May 2019,NA,NA
28,Friday 24 May 2019,XAU/GBP,1010.74474,XAU GBP rate for Friday 24 May 2019,NA,NA
29,Thursday 23 May 2019,XAU/GBP,1014.01305,XAU GBP rate for Thursday 23 May 2019,NA,NA
30,Wednesday 22 May 2019,XAU/GBP,1005.80766,XAU GBP rate for Wednesday 22 May 2019,NA,NA
31,Tuesday 21 May 2019,XAU/GBP,1003.46788,XAU GBP rate for Tuesday 21 May 2019,NA,NA
32,Monday 20 May 2019,XAU/GBP,1003.92856,XAU GBP rate for Monday 20 May 2019,NA,NA
33,Sunday 19 May 2019,XAU/GBP,1004.29001,XAU GBP rate for Sunday 19 May 2019,NA,NA
34,Saturday 18 May 2019,XAU/GBP,1004.49694,XAU GBP rate for Saturday 18 May 2019,NA,NA
35,Friday 17 May 2019,XAU/GBP,1004.49694,XAU GBP rate for Friday 17 May 2019,NA,NA
36,Thursday 16 May 2019,XAU/GBP,1005.22022,XAU GBP rate for Thursday 16 May 2019,NA,NA
37,Wednesday 15 May 2019,XAU/GBP,1009.58264,XAU GBP rate for Wednesday 15 May 2019,NA,NA
38,Tuesday 14 May 2019,XAU/GBP,1004.44586,XAU GBP rate for Tuesday 14 May 2019,NA,NA
39,Monday 13 May 2019,XAU/GBP,1004.08055,XAU GBP rate for Monday 13 May 2019,NA,NA
40,Sunday 12 May 2019,XAU/GBP,989.97855,XAU GBP rate for Sunday 12 May 2019,NA,NA
41,Saturday 11 May 2019,XAU/GBP,988.92504,XAU GBP rate for Saturday 11 May 2019,NA,NA
42,Friday 10 May 2019,XAU/GBP,988.92504,XAU GBP rate for Friday 10 May 2019,NA,NA
43,Thursday  9 May 2019,XAU/GBP,987.21126,XAU GBP rate for Thursday  9 May 2019,NA,NA
44,Wednesday  8 May 2019,XAU/GBP,984.71742,XAU GBP rate for Wednesday  8 May 2019,NA,NA
45,Tuesday  7 May 2019,XAU/GBP,982.77478,XAU GBP rate for Tuesday  7 May 2019,NA,NA
46,Monday  6 May 2019,XAU/GBP,978.77898,XAU GBP rate for Monday  6 May 2019,NA,NA
47,Sunday  5 May 2019,XAU/GBP,974.64826,XAU GBP rate for Sunday  5 May 2019,NA,NA
48,Saturday  4 May 2019,XAU/GBP,970.98061,XAU GBP rate for Saturday  4 May 2019,NA,NA
49,Friday  3 May 2019,XAU/GBP,970.98061,XAU GBP rate for Friday  3 May 2019,NA,NA
50,Thursday  2 May 2019,XAU/GBP,974.96931,XAU GBP rate for Thursday  2 May 2019,NA,NA
51,Wednesday  1 May 2019,XAU/GBP,978.69586,XAU GBP rate for Wednesday  1 May 2019,NA,NA
52,Tuesday 30 April 2019,XAU/GBP,984.34311,XAU GBP rate for Tuesday 30 April 2019,NA,NA
53,Monday 29 April 2019,XAU/GBP,990.17853,XAU GBP rate for Monday 29 April 2019,NA,NA
54,Sunday 28 April 2019,XAU/GBP,995.37189,XAU GBP rate for Sunday 28 April 2019,NA,NA
55,Saturday 27 April 2019,XAU/GBP,995.97316,XAU GBP rate for Saturday 27 April 2019,NA,NA
56,Friday 26 April 2019,XAU/GBP,995.97316,XAU GBP rate for Friday 26 April 2019,NA,NA
57,Thursday 25 April 2019,XAU/GBP,990.77882,XAU GBP rate for Thursday 25 April 2019,NA,NA
58,Wednesday 24 April 2019,XAU/GBP,987.70128,XAU GBP rate for Wednesday 24 April 2019,NA,NA
59,Tuesday 23 April 2019,XAU/GBP,982.99746,XAU GBP rate for Tuesday 23 April 2019,NA,NA
60,Monday 22 April 2019,XAU/GBP,982.19843,XAU GBP rate for Monday 22 April 2019,NA,NA
61,Sunday 21 April 2019,XAU/GBP,982.37587,XAU GBP rate for Sunday 21 April 2019,NA,NA
62,Saturday 20 April 2019,XAU/GBP,981.80503,XAU GBP rate for Saturday 20 April 2019,NA,NA
63,Friday 19 April 2019,XAU/GBP,981.80503,XAU GBP rate for Friday 19 April 2019,NA,NA
